candidate,office,party_detailed,party_simplified,state,state_po,votes
JANICE D SCHAKOWSKY,US HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,262045
JOSEPH M GRADY - NO,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,47225
KASEY WELLS,US PRESIDENT,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,2
TIM OZINGA,STATE HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,41115
DELIA C RAMIREZ,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,38951
SAM YINGLING,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,27215
AMY M BERTANI-TOMCZAK - NO,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,69784
RICHARD L TOGNARELLI - YES,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,93583
AURELIA MARIE PUCINSKI - NO,RETENTION APPELLATE COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,411550
JAMES N O'HARA - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1233741
JOYCE MASON,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,28447
JUDITH RICE - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1285368
DANIEL J KUBASIAK - NO,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,562256
THOMAS M O'SHAUGHNESSY - NO,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,11100
TERRI BRYANT,STATE SENATE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,85257
DANA RHOADES,CIRCUIT COURT JUDGE - FINSON VACANCY,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,5855
EMILY S SUTTON,CIRCUIT COURT JUDGE - MANGIERI VACANCY,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,29941
JAMES R MURPHY - NO,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,44144
CHRIS E REIF - YES,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,112531
RICHARD C SCHOENSTEDT - NO,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,82099
GREG HARRIS,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,46016
AMY MAHER,CIRCUIT COURT JUDGE - HYLLA VACANCY,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,71004
J JERRY KANE,CIRCUIT COURT JUDGE - GUNNARSSON VACANCY,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,5857
ANN B JORGENSEN - YES,RETENTION APPELLATE COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1090351
CHRIS HITZEMANN,CIRCUIT COURT JUDGE - DOYLE VACANCY,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,18315
ERIC M WALLACE,STATE SENATE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,41128
DARIN LAHOOD,US HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,261840
LAMONT J ROBINSON,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,43918
PATRICK KEVIN COUGHLIN - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1212097
CYNTHIA E CUNNINGHAM,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,19007
BRANDON ADAMS,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,10533
DAVID K OVERSTREET,SUPREME COURT JUSTICE - KARMEIER VACANCY,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,388129
"LEVANDER ""VAN"" SMITH JR",COOK COUNTY CIRCUIT COURT JUDGE - LARSEN VACANCY,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,1497317
JANET ADAMS BROSNAHAN - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1259719
MARITZA MARTINEZ - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1312844
SCOTT A LERNER,CIRCUIT COURT JUDGE - DIFANIS VACANCY,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,75184
PETER A FELICE - NO,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,473153
ANNE STAVA-MURRAY,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,33340
BRAD SCHNEIDER,US HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,202402
JAMES W CAMPANELLA - YES,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,123169
CASANDRA LEWIS - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1281220
ANN B JORGENSEN - NO,RETENTION APPELLATE COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,256183
"ALEXANDER ""AJ"" RUGGIERI",STATE SENATE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,31988
CLAYTON D CLEVELAND,STATE HOUSE,LIBERTARIAN,LIBERTARIAN,ILLINOIS,IL,9940
MARK C CURRAN JR,US SENATE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,2319870
ANN COLLINS-DOLE - NO,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,346194
ANN B JORGENSEN - NO,RETENTION APPELLATE COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,256183
CHRIS E REIF - NO,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,28292
AURELIA MARIE PUCINSKI - NO,RETENTION APPELLATE COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,411550
LORRAINE MARY MURPHY,COOK COUNTY CIRCUIT COURT JUDGE - ROTI VACANCY,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,1470559
JOHN COOK,STATE HOUSE,INDEPENDENT,OTHER,ILLINOIS,IL,13864
DANIEL J KUBASIAK - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1084306
DARREN BAILEY,STATE SENATE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,78010
JEFFREY M JACOBSON,CIRCUIT COURT JUDGE - ANDERSON VACANCY,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,227611
STANLEY BRANDMEYER - NO,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,22750
MAURA MCMAHON ZELLER,"COOK COUNTY CIRCUIT COURT JUDGE - SHEEHAN, C VACANCY",DEMOCRAT,DEMOCRAT,ILLINOIS,IL,1414518
MARY KATHERINE ROCHFORD - NO,RETENTION APPELLATE COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,416477
CHRIS LAWLER - NO,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,412070
ANN COLLINS-DOLE - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1289736
ANN M WILLIAMS,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,50970
THOMAS J WILDA,US HOUSE,GREEN,OTHER,ILLINOIS,IL,9408
GWYN GULLEY - NO,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,24234
BARBARA BELLAR,US PRESIDENT,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,0
"JOHN B ""BEN"" ROE - YES",RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,63294
ANN M WILLIAMS,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,50970
KATHRYN GIBSON,US PRESIDENT,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,0
BOB KLEEMAN - YES,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,302572
CAROL AMMONS,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,31127
MARY W MCDADE - YES,RETENTION APPELLATE COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,580382
JOSHUA FLYNN,STATE HOUSE,LIBERTARIAN,LIBERTARIAN,ILLINOIS,IL,8559
BRITTANY MICHELLE PEDERSEN,CIRCUIT COURT JUDGE - SPENCE VACANCY,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,108432
GENE DOHERTY - YES,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,102706
AMY L GRANT,STATE HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,32349
TOTAL,BALLOTS CAST,INDEPENDENT,OTHER,ILLINOIS,IL,113842
SHEREE DESIREE HENRY,COOK COUNTY CIRCUIT COURT JUDGE - MURPHY GORMAN VACANCY,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,1486274
CRAIG CAMERON,US HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,41390
EDWARD A ARCE - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1213647
KENNETH WRIGHT,CIRCUIT COURT JUDGE - ERICKSON VACANCY,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,20689
"ANTONIO ""TONY"" MUNOZ",STATE SENATE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,47959
AMY M BERTANI-TOMCZAK - NO,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,69784
HERBERT HEBEIN,STATE HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,20695
ELIZABETH ANNE WALSH,COOK COUNTY CIRCUIT COURT JUDGE - O'BRIEN VACANCY,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,1476514
BARRY L VAUGHAN - NO,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,16065
DAVID L VANCIL JR - YES,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,51240
RON DOWEIDT,STATE HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,16129
CHERI BUSTOS,US HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,156011
CHRIS BOS,STATE HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,33697
KATE MONTELEONE,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,27661
"KATHLEEN ""KATHIE"" JO HANSEN",STATE HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,9932
DAVE CARLSON - YES,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,214996
DEBBIE MEYERS-MARTIN,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,41305
ANJANA HANSEN - NO,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,375098
BRIAN CARROLL,US PRESIDENT,AMERICAN SOLIDARITY,OTHER,ILLINOIS,IL,9548
LYNN WEAVER BOYLE,COOK COUNTY CIRCUIT COURT JUDGE - PATTI VACANCY,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,1480429
KIMBERLEY CRUM KLEIN,CIRCUIT COURT JUDGE - A VACANCY,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,17875
BARBARA BELLAR,US PRESIDENT,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,0
FRANCES ANN HURLEY,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,37169
JANET ADAMS BROSNAHAN - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1259719
LA SHAWN K FORD,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,36932
JILL ROSE QUINN,"COOK COUNTY CIRCUIT COURT JUDGE - SHEEHAN, K VACANCY",DEMOCRAT,DEMOCRAT,ILLINOIS,IL,1486546
TOTAL,BALLOTS CAST,KENDALL COUNTY,OTHER,ILLINOIS,IL,64552
JOE SOSNOWSKI,STATE HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,45218
JOSEPH M LEBERMAN - YES,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,61528
DANIEL RIPPY - NO,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,85573
BILL REDPATH,US HOUSE,LIBERTARIAN,LIBERTARIAN,ILLINOIS,IL,7079
ANDREA M BUFORD - NO,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,348058
ANN COLLINS-DOLE - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1289736
ANDREA M BUFORD - NO,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,348058
CHAD GRIMM,STATE HOUSE,LIBERTARIAN,LIBERTARIAN,ILLINOIS,IL,9890
DON BLANKENSHIP,US PRESIDENT,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,4
MICHAEL W HALPIN,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,27413
MARY MILLER,US HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,244947
AARON M ORTIZ,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,21204
DANIEL RIPPY - NO,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,85573
ANN COLLINS-DOLE - NO,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,346194
ANNA SCHIEFELBEIN,STATE HOUSE,GREEN,OTHER,ILLINOIS,IL,2326
MARY ELLEN COGHLAN - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1293324
THERESA J RABORN,US HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,63142
ERIKA C WEAVER,US HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,88559
SUE SCHERER,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,20742
DAN CAULKINS,STATE HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,53327
MARK L WALKER,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,40255
AMY M BERTANI-TOMCZAK - NO,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,69784
LAURA AYALA-GONZALEZ,COOK COUNTY CIRCUIT COURT JUDGE - FORD VACANCY,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,1535098
JIM DURKIN,STATE HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,41925
WALDEN E MORRIS - NO,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,19773
JOHN M CABELLO,STATE HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,26531
MARTHA PASCHKE,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,32720
MIKE ATTERBERRY - YES,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,52272
"ANTHONY C ""TONY"" KYRIAKOPOULOS - NO",RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,453965
KAM BUCKNER,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,41804
CHRIS MILLER,STATE HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,35788
JOAN E POWELL - NO,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,371619
AMY ELIK,STATE HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,26756
CAROLINE KATE MORELAND - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1224626
CHRIS DOSCOTCH,CIRCUIT COURT JUDGE - HOOS VACANCY,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,68099
DAN SWANSON,STATE HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,39239
JAMES PAUL PIECZONKA - NO,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,478697
ALIA SARFRAZ,STATE HOUSE,GREEN,OTHER,ILLINOIS,IL,1521
BOB MORGAN,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,43648
KEVIN J WARD,CIRCUIT COURT JUDGE - KELLY VACANCY,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,10459
ANN CELINE WALSH,CIRCUIT COURT JUDGE - SUTTER VACANCY,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,233501
KENNETH J WADAS - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1089523
JACKIE MARIE PORTMAN-BROWN - NO,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,684759
CRISTINA CASTRO,STATE SENATE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,54534
DEBRA B WALKER - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1325366
MICHAEL J MADIGAN,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,29041
YES,FOR THE PROPOSED AMENDMENT OF SECTION 3 OF ARTICLE IX OF THE ILLINOIS CONSTITUTION,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,2683490
STEVE STADELMAN,STATE SENATE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,51382
JAMES L ROBERTS - NO,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,23012
CELESTIA L MAYS,COOK COUNTY CIRCUIT COURT JUDGE - FUNDERBURK VACANCY,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,1511514
ANJANA HANSEN - NO,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,375098
BOB KLEEMAN - NO,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,102229
"DAGMARA ""DEE"" AVELAR",STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,26560
DEBORAH ROUSE,US PRESIDENT,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1
ESTHER JOY KING,US HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,143863
BOB KLEEMAN - NO,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,102229
DAVID J SEILER,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,12187
GLENN OLOFSON,STATE HOUSE,LIBERTARIAN,LIBERTARIAN,ILLINOIS,IL,12000
KRISTYNA COLLEEN RYAN - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1282455
TOM TEDESCHI - NO,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,17822
"WILLIAM ""WILL"" DAVIS",STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,33359
MARGARET ANN BRENNAN - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1204942
JOHN SPENCER,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,9366
ANDREW J DOYLE,CIRCUIT COURT JUDGE - MANGIERI VACANCY,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,40858
URSULA WALOWSKI - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1235469
J JERRY KANE,CIRCUIT COURT JUDGE - GUNNARSSON VACANCY,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,5857
BRANDON ADAMS,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,10533
MICHAEL P TOOMIN - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1092228
MARY EDLY-ALLEN,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,32548
KACIE WEICHERDING,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,16161
JIM WALSH,STATE HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,20619
"NICHOLAS ""NICK"" SMITH",STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,40279
JESUS SOLORIO,US HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,35518
KODY CZERWONKA,STATE HOUSE,INDEPENDENT,OTHER,ILLINOIS,IL,11168
DAVID GERVAIS,CIRCUIT COURT JUDGE - CALDWELL VACANCY,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,88052
MICHAEL P TOOMIN - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1092228
DEBRA B WALKER - NO,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,319153
ROBERT K VILLA,CIRCUIT COURT JUDGE - HALLOCK VACANCY,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,67727
DAN UGASTE,STATE HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,35206
BETSY DIRKSEN LONDRIGAN,US HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,151648
NO,FOR THE PROPOSED AMENDMENT OF SECTION 3 OF ARTICLE IX OF THE ILLINOIS CONSTITUTION,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,3059411
CHRISTOPHER DEMINK,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,16054
ADAM GIGANTI,CIRCUIT COURT JUDGE - SCHMIDT VACANCY,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,129914
DAVE CARLSON - NO,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,77865
MARGARET ANN BRENNAN - NO,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,461200
DAVID K OVERSTREET,SUPREME COURT JUSTICE - KARMEIER VACANCY,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,388129
SARAH TRIPP,CIRCUIT COURT JUDGE - WILLIAMSON VACANCY,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,5725
TOM L KILBRIDE - YES,RETENTION SUPREME COURT JUSTICE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,452142
DENYSE WANG STONEBACK,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,32660
JAMES A MACK - YES,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,112712
CHRIS DOSCOTCH,CIRCUIT COURT JUDGE - HOOS VACANCY,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,68099
DAVE VELLA,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,26770
HERBERT HEBEIN,STATE HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,20695
ALBERT A SCHAAL,US SENATE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,2
THOMAS J BYRNE - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1145959
JOHN A NOVERINI - YES,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,151034
CASANDRA LEWIS - NO,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,373683
PATRICK KEVIN COUGHLIN - NO,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,420781
DIANE PAPPAS,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,26590
ADAM KINZINGER,US HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,218839
JUSTIN HANSEN,CIRCUIT COURT JUDGE - A VACANCY,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,19819
BRAD STEPHENS,STATE HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,28314
JONATHAN C WRIGHT,CIRCUIT COURT JUDGE - HARRIS VACANCY,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,11638
CHRIS BOS,STATE HOUSE,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,33697
ANNA SCHIEFELBEIN,STATE HOUSE,GREEN,OTHER,ILLINOIS,IL,2326
ANNE STAVA-MURRAY,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,33340
"JESUS ""CHUY"" GARCIA",US HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,187219
JOSEPH R BIDEN,US PRESIDENT,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,3471915
DOUGLAS E LEE,CIRCUIT COURT JUDGE - FISH VACANCY,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,70572
ADRIENNE WAKAT ALBRECHT - NO,RETENTION CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,12091
WILLIAM B RAINES - YES,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,1209189
DIANA L KENWORTHY - NO,RETENTION COOK COUNTY CIRCUIT COURT JUDGE,NONPARTISAN,NONPARTISAN,ILLINOIS,IL,359346
KACIE WEICHERDING,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,16161
MONIQUE O'TOOLE,CIRCUIT COURT JUDGE - ANDERSON VACANCY,REPUBLICAN,REPUBLICAN,ILLINOIS,IL,234089
CHERI BUSTOS,US HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,156011
BRIAN SAGER,STATE HOUSE,DEMOCRAT,DEMOCRAT,ILLINOIS,IL,23390
KODY CZERWONKA,STATE HOUSE,INDEPENDENT,OTHER,ILLINOIS,IL,11168
